Reaction1,Reaction2,objective
ACALD,ACALDt,9.999999999999988
ACALD,ACKr,9.999999999999988
ACALD,ACONTa,9.999999999999996
ACALD,ACONTb,9.999999999999996
ACALD,ACt2r,9.999999999999996
ACALD,ADK1,10.0
ACALD,AKGDH,10.0
ACALD,AKGt2r,10.0
ACALD,ALCD2x,10.0
ACALD,ATPM,10.0
ACALD,ATPS4r,10.0
ACALD,Biomass_Ecoli_core,10.0
ACALD,CO2t,10.000000000000004
ACALD,CS,10.0
ACALD,CYTBD,10.0
ACALD,D_LACt2,10.0
ACALD,ENO,-3.226923076923056
ACALD,ETOHt2r,9.999999999999964
ACALD,EX_ac_e,9.999999999999964
ACALD,EX_acald_e,9.999999999999964
ACALD,EX_akg_e,9.999999999999964
ACALD,EX_co2_e,9.999999999999996
ACALD,EX_etoh_e,9.999999999999996
ACALD,EX_for_e,9.999999999999996
ACALD,EX_fru_e,9.999999999999996
ACALD,EX_fum_e,9.999999999999996
ACALD,EX_glc__D_e,0.0
ACALD,EX_gln__L_e,10.0
ACALD,EX_glu__L_e,9.999999999999998
ACALD,EX_h_e,9.999999999999993
ACALD,EX_h2o_e,10.0
ACALD,EX_lac__D_e,10.0
ACALD,EX_mal__L_e,10.0
ACALD,EX_nh4_e,10.0
ACALD,EX_o2_e,10.0
ACALD,EX_pi_e,10.0
ACALD,EX_pyr_e,10.0
ACALD,EX_succ_e,10.0
ACALD,FBA,-1.032615384615371
ACALD,FBP,10.000000000000115
ACALD,FORt2,10.000000000000115
ACALD,FORti,10.000000000000115
ACALD,FRD7,10.00000000000007
ACALD,FRUpts2,10.00000000000007
ACALD,FUM,10.00000000000007
ACALD,FUMt2_2,10.00000000000007
ACALD,G6PDH2r,10.00000000000007
ACALD,GAPD,-3.2269230769230948
ACALD,GLCpts,0.4794285714285725
ACALD,GLNS,10.0
ACALD,GLNabc,10.0
ACALD,GLUDy,10.0
ACALD,GLUN,10.0
ACALD,GLUSy,10.0
ACALD,GLUt2r,10.0
ACALD,GND,10.0
ACALD,H2Ot,10.0
ACALD,ICDHyr,10.0
ACALD,ICL,10.0
ACALD,LDH_D,10.0
ACALD,MALS,10.0
ACALD,MALt2_2,10.0
ACALD,MDH,10.0
ACALD,ME1,10.0
ACALD,ME2,10.0
ACALD,NADH16,10.0
ACALD,NADTRHD,10.0
ACALD,NH4t,10.0
ACALD,O2t,10.0
ACALD,PDH,10.0
ACALD,PFK,-1.0326153846153838
ACALD,PFL,9.999999999999995
ACALD,PGI,0.0
